"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Talking About This (Post) by action type - answer","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Stories by action type - answer","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - report_spam_clicks","Lifetime Negative Feedback from Users by Type - unlike_page_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - report_spam_clicks","Lifetime Negative Feedback by Type - unlike_page_clicks"
110764313093221_325709774932006,https://www.facebook.com/jowradio/posts/325709774932006,"آخر نصائح عبدو باش تستعمل Netflix بأحسن طريقة 🧠💯
اسمعونا على : www.jow.radio",Video,,,"10/10/2019 08:14:43 AM"," ",60828,60828,0,72878,72878,0,3201,2921,4035,6,7,45128,37778,0,0,2193,208,210,0,0,21085,21199,0,0,16624,518761,17,449,27,,17,474,33,,1247,2285,44,,1279,2710,44,,3,4,,,3,3,,
110764313093221_325706908265626,https://www.facebook.com/jowradio/posts/325706908265626,"الفيلم الجزائري “بابيشا” يشارك رسميا في مسابقة الأوسكار 2020",Photo,,,"10/10/2019 08:07:35 AM"," ",51118,51118,0,65035,65035,0,3624,2971,3487,6,6,41372,32287,0,0,2674,0,0,0,0,0,0,0,0,0,0,3,921,156,,3,967,239,,,2757,,360,,3119,,368,4,2,,,4,2,,
110764313093221_325237188312598,https://www.facebook.com/jowradio/posts/325237188312598,"تبعوا فقرة سركالة فالواب مع ياسر 🤣🤣🤣
اسمعونا على : www.jow.radio
من الأحد إلى الخميس من : 16h à 18h #Serkala",Video,,,"10/10/2019 05:00:00 AM"," ",21589,21589,0,25623,25623,0,863,751,911,2,2,16299,13403,0,0,588,83,84,0,0,6957,6957,0,0,13085,411070,,142,2,,,144,2,,324,493,13,,327,570,13,,2,,,,2,,,
110764313093221_325357201633930,https://www.facebook.com/jowradio/posts/325357201633930,"صادق جمعاوي يحكي على المرأة اللي حبها و متزوجش بيها  😢💔😧

اسمعونا على : www.jow.radio
كل الثلاثاء: 21 سا ـ 00 سا #LDTH",Video,,,"10/10/2019 03:30:00 AM"," ",84155,84155,0,103377,103369,0,7688,7199,10080,14,14,53660,42411,0,0,3982,1716,1760,0,0,33586,35232,0,0,24994,323433,14,653,24,,14,679,25,,3887,5333,54,,4094,5931,55,,8,6,,,8,6,,
110764313093221_325332144969769,https://www.facebook.com/jowradio/posts/325332144969769,"نسيم حدوش، رمزي زنقا كريزي أو لي ديبلومي حول فوز توفيق مخلوفي بالميدالية الفضية 🇩🇿😍🥈

اسمعونا على : www.jow.radio
كل الثلاثاء: 21 سا ـ 00 سا #LDTH",Video,,,"10/10/2019 02:00:00 AM"," ",52470,52470,0,63845,63845,0,2216,1959,2556,6,6,39372,32015,0,0,1452,631,631,0,0,20703,20739,0,0,14212,252863,1,359,9,,1,364,11,,898,1456,21,,912,1623,21,,3,3,,,3,3,,
110764313093221_325318081637842,https://www.facebook.com/jowradio/posts/325318081637842,"لي ديبلومي يرجعو على ظاهرة الحراقة و الأسباب المؤدية  للجوء إلى قوارب الموت 😰

اسمعونا على : www.jow.radio
كل الثلاثاء: 21 سا ـ 00 سا #LDTH",Video,,,"10/09/2019 03:53:20 PM"," ",92764,92764,0,118023,118023,0,6238,5455,7090,11,11,71110,57996,0,0,3739,1686,1759,0,0,40765,41679,0,0,24961,439359,30,1107,63,,35,1175,81,,2033,4173,117,,2090,4880,119,,6,5,,,6,5,,
110764313093221_325276994975284,https://www.facebook.com/jowradio/posts/325276994975284,,Photo,,,"10/09/2019 12:54:39 PM"," ",12092,12092,0,15138,15138,0,303,190,208,6,6,9263,7681,0,0,213,0,0,0,0,0,0,0,0,0,0,1,122,2,,1,123,2,,,67,,135,,74,,134,3,3,,,3,3,,
110764313093221_325204874982496,https://www.facebook.com/jowradio/posts/325204874982496,"ضيفنا اليوم في WESH L'ARTISTE هو المجموعة Jugulator
من 21 سا ـ 23 سا 
اسمعونا على : www.jow.radio",Photo,,,"10/09/2019 09:55:42 AM"," ",11782,11782,0,14970,14970,0,227,140,161,1,1,8793,7383,0,0,143,0,0,0,0,0,0,0,0,0,0,2,92,9,,2,94,11,,,89,15,48,,97,16,48,1,,,,1,,,
110764313093221_325167411652909,https://www.facebook.com/jowradio/posts/325167411652909,"حكاياتكم و أسراركم راهم أمانة عندنا 😎
أبعثولنا تسجيل صوتي لمدة دقيقة على الرقم 0770149543 على الفايبر ولا على الواتساب و اللي تحكو فيه على أسراركم الأكثر جنونا، و حنا ما علينا غير نجوزوهم مع يونس و كمال و نسيم.
  
اسمعونا على : www.jow.radio",Photo,,,"10/09/2019 08:29:55 AM"," ",36188,36188,0,44673,44673,0,1650,1303,1413,9,9,28208,23055,0,0,1121,0,0,0,0,0,0,0,0,0,0,5,420,74,,5,430,89,,,996,106,246,,1062,107,244,6,3,,,6,3,,
110764313093221_325122008324116,https://www.facebook.com/jowradio/posts/325122008324116,"صالح : &quot; واحد ما آمن بإمكانيات مخلوفي ، لا الإتحادية ولا فريقه &quot; 😦🥈
اسمعونا على : www.jow.radio",Video,,,"10/09/2019 06:52:43 AM"," ",13255,13255,0,16414,16414,0,847,711,872,3,3,9181,7198,0,0,500,208,219,0,0,4816,4989,0,0,8729,96597,3,154,7,,3,162,7,,445,365,8,,452,412,8,,3,,,,3,,,
110764313093221_324709301698720,https://www.facebook.com/jowradio/posts/324709301698720,"تبعوا حصتكم  LDTH# ،  اليوم ضيفنا هو الفنان القدير صادق جمعاوي🔥😍🎤
 ما تراطيوش حصة لي ديبلومي من 21 سا- 00 سا 😍

اسمعونا على : www.jow.radio
كل الثلاثاء: 21 سا ـ 00 سا #",Photo,,,"10/08/2019 11:51:42 AM"," ",12289,12289,0,15313,15313,0,194,125,130,1,1,9227,7607,0,0,148,0,0,0,0,0,0,0,0,0,0,1,74,2,,1,79,2,,,74,23,26,,79,23,28,1,,,,1,,,
110764313093221_324702505032733,https://www.facebook.com/jowradio/posts/324702505032733,"شاهدوا الفيديو باش تعرفوا وين🤔🤔
اسمعونا على : www.jow.radio
من الأحد إلى الخميس من : 16سا ل 18سا #serkala",Video,,,"10/08/2019 11:35:51 AM"," ",17664,17664,0,22577,22577,0,1038,904,1150,1,1,13815,10768,0,0,690,290,290,0,0,6547,6714,0,0,9393,103103,1,155,7,,1,157,9,,426,649,13,,433,704,13,,1,,,,1,,,
110764313093221_324545821715068,https://www.facebook.com/jowradio/posts/324545821715068,"هذا الخميس راح تكون معانا سلطانة الطرب فلة عبابسة لاختيار أفضل صوت في فريقها في رايكم شكون راح يكون الرابح ؟",Video,,,"10/08/2019 11:00:00 AM"," ",18989,18989,0,23629,23629,0,1127,975,1179,4,4,13763,10968,0,0,665,144,147,0,0,5519,5541,0,0,8337,71039,3,166,13,,3,167,13,,494,627,,,508,671,,,3,1,,,3,1,,
110764313093221_324581225044861,https://www.facebook.com/jowradio/posts/324581225044861,"هاذا ما قاله نور الدين سعدي كي ڨديورة لحق بالبطولة القطرية 😯⚽
اسمعونا على : www.jow.radio",Video,,,"10/08/2019 08:00:01 AM"," ",12139,12139,0,14863,14863,0,507,434,517,0,0,7885,6559,0,0,306,278,278,0,0,4382,4610,0,0,5810,41705,,77,3,,,77,3,,279,208,5,,282,230,5,,,,,,,,,
110764313093221_324528831716767,https://www.facebook.com/jowradio/posts/324528831716767,"شبيبة القبائل تلعب في بشار ؟ هذه هي الفكرة الأخيرة التي وجدها ملال لتجنب مشاكل الملعب ... 
اسمعونا على : www.jow.radio",Video,,,"10/08/2019 05:15:37 AM"," ",28706,28706,0,35443,35443,0,1462,1316,1760,7,7,17394,14279,0,0,711,1340,1340,0,0,7592,7782,0,0,8010,55189,6,186,13,,6,191,15,,542,1098,40,,537,1183,40,,4,3,,,4,3,,
110764313093221_324512021718448,https://www.facebook.com/jowradio/posts/324512021718448,"#شاهد ماذا قال شريف ملال رئيس نادي شبيبة القبائل على برناوي 😯
اسمعونا على : www.jow.radio",Video,,,"10/08/2019 04:38:40 AM"," ",41783,41783,0,53295,53295,0,3450,3235,4742,8,8,18058,13480,0,0,1023,1590,1590,0,0,12640,13458,0,0,14009,107157,8,320,28,,11,328,34,,1510,2819,52,,1525,3166,51,,3,5,,,3,5,,
110764313093221_324143581755292,https://www.facebook.com/jowradio/posts/324143581755292,"فقرة تحب ولا متحبش مع ياسر  🔥😂

اسمعونا على : www.jow.radio
من الأحد إلى الخميس من : 16h à 18h #Serkala",Video,,,"10/08/2019 03:00:01 AM"," ",12433,12433,0,14683,14683,0,547,466,594,2,2,7830,6557,0,0,312,323,332,0,0,3407,3596,0,0,15632,179349,,101,3,,,103,3,,278,273,6,,281,307,6,,1,1,,,1,1,,
110764313093221_324139861755664,https://www.facebook.com/jowradio/posts/324139861755664,"🔥😂 تبعوا سركالة في الواب مع ياسر 🔥😂
من الأحد إلى الخميس من : 16hـ 18h #Serkala",Video,,,"10/08/2019 02:00:01 AM"," ",44252,44252,0,52315,52315,0,1398,1171,1455,6,6,23833,19554,0,0,819,550,550,0,0,13303,13686,0,0,12725,194474,1,296,5,,1,296,5,,453,881,,,470,985,,,6,,,,6,,,
110764313093221_324107591758891,https://www.facebook.com/jowradio/posts/324107591758891,"شاهد فريق بالون يعود على فوز توفيق مخلوفي بالميدالية الفضية 😍🔥
اسمعونا على : www.jow.radio
#BallON",Video,,,"10/07/2019 10:30:00 AM"," ",22165,22165,0,27301,27301,0,1073,872,1175,2,2,14767,12050,0,0,632,620,622,0,0,8503,8671,0,0,6757,41108,,236,8,,,239,11,,479,642,9,,487,679,9,,2,,,,2,,,
110764313093221_324091088427208,https://www.facebook.com/jowradio/posts/324091088427208,"شريف ملال : &quot; أنا النتائج تاعي هما اللي يهدرو&quot;
اسمعونا على : www.jow.radio",Video,,,"10/07/2019 10:00:01 AM"," ",49516,49516,0,61224,61224,0,2880,2480,3355,6,6,22148,17041,0,0,1041,1948,1970,0,0,16177,16409,0,0,9127,61354,14,483,62,,16,483,76,,828,2273,73,,820,2462,73,,3,3,,,3,3,,
110764313093221_324077308428586,https://www.facebook.com/jowradio/posts/324077308428586,"شاهد شريف ملال يرد على نور الدين سعدي  🤔😦
اسمعونا على : www.jow.radio
#JowEssabah",Video,,,"10/07/2019 09:30:01 AM"," ",25772,25772,0,31607,31607,0,1288,1180,1710,15,15,14572,11340,0,0,738,515,515,0,0,5647,5647,0,0,8539,91797,,146,7,,,148,16,,604,950,8,,609,1093,8,,6,9,,,6,9,,
110764313093221_324073735095610,https://www.facebook.com/jowradio/posts/324073735095610,"شريف ملال : &quot; أنا قلبي أبيض، ما عندي حتى مشكل مع حناشي&quot; 
اسمعونا على : www.jow.radio
#JowEssabah",Video,,,"10/07/2019 09:00:02 AM"," ",12268,12268,0,14590,14590,0,439,377,520,2,2,7962,6537,0,0,294,533,545,0,0,2726,2766,0,0,5989,45503,4,73,1,,4,75,1,,187,276,10,,193,317,10,,1,1,,,1,1,,
110764313093221_324054335097550,https://www.facebook.com/jowradio/posts/324054335097550,"شريف ملال : &quot; رفعنا دعوى قضائية على فيستون، و رانا نستناو ردّ الفيفا &quot; 
اسمعونا على : www.jow.radio",Video,,,"10/07/2019 08:01:31 AM"," ",17750,17750,0,21652,21652,0,1010,898,1127,2,2,13358,10743,0,0,668,676,700,0,0,4859,4927,0,0,5394,33193,2,148,14,,2,152,17,,550,481,13,,565,549,13,,1,1,,,1,1,,
110764313093221_324037901765860,https://www.facebook.com/jowradio/posts/324037901765860,"تصريحات مثيرة لرئيس شبيبة القبائل شريف ملال على إذاعة جو راديو 🔥🔥",Link,,,"10/07/2019 07:26:59 AM"," ",9647,9647,0,11933,11933,0,280,175,192,1,1,6770,5674,0,0,176,0,0,0,0,0,0,0,0,0,0,6,103,1,,6,104,1,,,46,132,,,49,143,,1,,,,1,,,
110764313093221_323544745148509,https://www.facebook.com/jowradio/posts/323544745148509,"&quot;رسالتي للرجال اللي يخلو زوجتهم مريضة &quot;😢😢

اسمعونا على : www.jow.radio
كل السبت من:21 سا ـ 23 سا #bnatime",Video,,,"10/06/2019 01:00:01 PM"," ",53894,53894,0,68910,68910,0,3745,2912,4079,17,17,29920,24193,0,0,1850,1147,1184,0,0,19026,20523,0,0,12686,151146,75,956,66,,80,991,84,,1299,2249,53,,1370,2656,53,,10,7,,,10,7,,
110764313093221_323569558479361,https://www.facebook.com/jowradio/posts/323569558479361,"توفيق مخلوفي يفوز بالميدالية الفضية في سباق 1500 متر ضمن بطولة العالم الجارية بالدوحة .",Photo,,,"10/06/2019 10:07:30 AM"," ",29014,29014,0,36442,36442,0,1185,453,498,1,1,22175,17734,0,0,786,0,0,0,0,0,0,0,0,0,0,8,782,24,,8,800,28,,,361,,105,,393,,105,,1,,,,1,,
110764313093221_323524095150574,https://www.facebook.com/jowradio/posts/323524095150574,"بيوتيز إيناس : &quot; هذه هي حكاية  مكافحة أمّي لسرطان الثدي &quot;😢😢

اسمعونا على : www.jow.radio
كل السبت من:21 سا ـ 23 سا #bnatime",Video,,,"10/06/2019 08:54:42 AM"," ",36892,36892,0,46344,46344,0,2294,2003,2585,11,11,22657,18758,0,0,1331,757,757,0,0,14229,14858,0,0,11467,115626,7,402,14,,7,415,16,,822,1595,20,,841,1723,21,,8,3,,,8,3,,
110764313093221_323407825162201,https://www.facebook.com/jowradio/posts/323407825162201,"5 اكتوبر 1988 الى يومنا هاذا واش تبدل ؟؟",Video,,,"10/06/2019 05:00:01 AM"," ",18063,18063,0,22714,22714,0,685,539,672,2,2,12765,10360,0,0,411,153,153,0,0,5535,5535,0,0,6111,126442,1,163,17,,1,174,17,,230,393,,,239,433,,,2,,,,2,,,
110764313093221_323382431831407,https://www.facebook.com/jowradio/posts/323382431831407,"الإنتخابات راهي جاية ... زعمة نلقاو &quot;قيس السعيد&quot; في الجزائر 🤔 ؟!",Video,,,"10/06/2019 04:00:01 AM"," ",25697,25697,0,32385,32385,0,1930,1770,2312,5,5,16782,13512,0,0,1034,244,244,0,0,9465,9630,0,0,9130,157802,8,233,29,,8,244,35,,990,1178,,,1022,1290,,,2,3,,,2,3,,
110764313093221_323387008497616,https://www.facebook.com/jowradio/posts/323387008497616,"بطولة العالم لألعاب القوى (الدوحة 2019) : البطل الأولمبي توفيق مخلوفي سيكون اليوم على موعد مع نهائي سباق 1500 متر بداية من الساعة 17:40 بتوقيت الجزائر. 😍 شكون رايح يشوف السباق ؟",Photo,,,"10/06/2019 03:58:06 AM"," ",29662,29662,0,37605,37605,0,1288,825,914,1,1,23260,18309,0,0,903,0,0,0,0,0,0,0,0,0,0,7,556,38,,7,557,45,,,723,,118,,795,,119,,1,,,,1,,
110764313093221_321959988640318,https://www.facebook.com/jowradio/posts/321959988640318,"هكذا كان رد الفنان عبد الرحمان جلطي للسؤال القاتل تاع نذير  😱😱😱

اسمعونا على : www.jow.radio
كل الثلاثاء: 21 سا ـ 00 سا #LDTH",Video,,,"10/04/2019 04:00:01 AM"," ",65188,65188,0,78655,78655,0,4913,4496,5370,6,6,28738,23240,0,0,2060,6014,6014,0,0,29568,31522,0,0,17082,59519,2,564,12,,2,564,14,,2788,2484,42,,2706,2622,42,,5,1,,,5,1,,
110764313093221_321951695307814,https://www.facebook.com/jowradio/posts/321951695307814,"هذا هو رأي الفنان جلطي فيما يخص إستعمال بعض المغنين للمؤثرات الصوتية 😯🎤

اسمعونا على : www.jow.radio
كل الثلاثاء: 21 سا ـ 00 سا #LDTH",Video,,,"10/04/2019 02:00:01 AM"," ",49586,49586,0,59183,59183,0,4017,3702,4993,10,10,23320,18732,0,0,1584,1203,1203,0,0,22528,22726,0,0,17742,151722,8,453,28,,9,466,34,,1872,2723,16,,1898,3079,16,,7,3,,,7,3,,
110764313093221_321951115307872,https://www.facebook.com/jowradio/posts/321951115307872,"بطولة العالم لألعاب القوى (الدوحة 2019) : توفيق مخلوفي يتأهل لنصف نهائي سباق 1500 بعد أن حل ثانيا في مجموعته.
Www.jow.radio",Photo,,,"10/03/2019 02:56:47 PM"," ",26538,26538,0,31939,31939,0,664,233,268,2,2,17867,15047,0,0,494,0,0,0,0,0,0,0,0,0,0,2,441,6,,2,451,6,,,146,21,80,,169,21,78,2,,,,2,,,
110764313093221_321279402041710,https://www.facebook.com/jowradio/posts/321279402041710,"حريق، إنهيار بناية...الحوادث في الجزائر 😕😔😯

اسمعونا على : www.jow.radio
 من الاحد إلى الخميس de 16h à 18h
#Serkala",Video,,,"10/03/2019 09:00:01 AM"," ",31960,31960,0,38422,38422,0,1053,794,926,2,2,18843,15686,0,0,576,65,70,0,0,13735,14395,0,0,9030,266388,1,296,7,,1,297,8,,495,353,25,,504,391,27,,1,1,,,1,1,,
110764313093221_321782728658044,https://www.facebook.com/jowradio/posts/321782825324701:0,JOW,Photo,,,"10/03/2019 08:40:08 AM"," ",253,253,0,349,349,0,1386,12,13,5,5,67,51,0,0,953,0,0,0,0,0,0,0,0,0,0,1,1339,41,,1,1339,46,,,12,,,,13,,,3,2,,,3,2,,
110764313093221_321284995374484,https://www.facebook.com/jowradio/posts/321284995374484,"أكثر من 80 ألف طلب على سكنات “  LPA” بالعاصمة في غضون 24 ساعة 
سمعونا على : www.jow.radio
 من الاحد إلى الخميس 16 سا-18 سا #SERKALA",Video,,,"10/03/2019 08:00:01 AM"," ",82311,82311,0,99183,99183,0,5831,5132,6068,18,18,44947,35597,0,0,2460,743,750,0,0,35953,36992,0,0,17052,288063,17,925,59,,18,941,70,,2279,3439,75,,2297,3691,75,,12,6,,,12,6,,
110764313093221_321414872028163,https://www.facebook.com/jowradio/posts/321414872028163,"شاهدوا واعلاش نذير كشوت جا خارج من الأستوديو خلال فقرته أخبار الواب 🤣🤔😂

اسمعونا على : www.jow.radio
كل الثلاثاء: 21 سا ـ 00 سا #LDTH",Video,,,"10/03/2019 06:00:01 AM"," ",83108,83108,0,102634,102634,0,7519,6934,9516,17,17,47484,38042,0,0,3690,1916,1916,0,0,42200,44140,0,0,19354,192874,7,854,16,,7,871,25,,4816,4032,84,,4995,4434,84,,9,8,,,9,8,,
110764313093221_321351825367801,https://www.facebook.com/jowradio/posts/321351825367801,"منانوك : &quot; مشاركتي في مسلسل ولاد لحلال كانت مجرد دعاية &quot;

اسمعونا على : www.jow.radio
كل الثلاثاء: 21 سا ـ 00 سا #LDTH",Video,,,"10/03/2019 05:00:01 AM"," ",1372890,1372890,0,2205219,2205219,0,232950,215953,263866,335,339,252755,141870,0,0,31221,149273,153676,0,0,708006,823505,0,0,57573,253802,422,29190,806,,425,30619,1011,,134108,109432,643,,135426,127807,630,,106,233,,,106,233,,
110764313093221_321658812003769,https://www.facebook.com/jowradio/posts/321658812003769,"هذه هي حكاية Spider-Man اللي جاء للجزائر باش يسلّك والديه 😯😍
اسمعونا على: www.jow.radio
كل يوم من 07 سا ـ 10 سا #JOWESSABAH",Video,,,"10/03/2019 04:52:09 AM"," ",31275,31275,0,38849,38849,0,1837,1608,1859,3,3,18044,14014,0,0,840,875,883,0,0,19874,21901,0,0,7401,59477,5,254,10,,5,260,12,,1100,681,9,,1117,733,9,,1,2,,,1,2,,
110764313093221_321335502036100,https://www.facebook.com/jowradio/posts/321335502036100,"منانوك : &quot;باش نشوف وليدي وليت مدرب في إنجلترا &quot; 😢

اسمعونا على : www.jow.radio
كل الثلاثاء: 21 سا ـ 00 سا #LDTH",Video,,,"10/02/2019 04:01:59 PM"," ",2567791,2567791,0,4344378,4344378,0,497471,460455,641768,631,628,365797,183794,0,0,50983,322566,331125,0,0,1326729,1601955,0,0,72502,391188,3696,66542,3726,,3985,69937,4406,,261496,276020,1599,,287877,352211,1671,,212,416,,,214,415,,
110764313093221_321294995373484,https://www.facebook.com/jowradio/posts/321294995373484,"انقر على هذا الرابط لمشاهدة حصريا الحلقة الكاملة لمنانوك في جو راديو 😂😍😂

اسمعونا على : www.jow.radio
كل يوم الثلاثاء: 21 سا ـ 00 سا #LDTH",Link,,,"10/02/2019 01:04:43 PM"," ",85050,85050,0,114326,114326,0,5678,4120,4807,8,8,39310,30338,0,0,2971,0,0,0,0,0,0,0,0,0,0,62,1280,125,,62,1293,163,,,642,3726,,,707,4100,,2,6,,,2,6,,
110764313093221_321134535389530,https://www.facebook.com/jowradio/posts/321134535389530,"فؤاد واحد من المتسابقين في فريق الشاب بلال في برنامج صوت شالنج Sawt Challenge ... تعرفوا عليه أكثر في هذا الفيديو  وماتنساوش  اكتشفو ادائه يوم الخميس الساعة التاسعة على قناة الجزائرية وان.",Video,,,"10/02/2019 01:00:04 PM"," ",33716,33716,0,40974,40974,0,1076,887,1073,2,2,17674,14310,0,0,453,1334,1334,0,0,10976,11227,0,0,6194,54549,5,223,9,,5,232,9,,595,378,,,636,437,,,1,1,,,1,1,,
110764313093221_320621655440818,https://www.facebook.com/jowradio/posts/320621655440818,"كيفية تعلم لغة جديدة🗣🇩🇪🇮🇹🇷🇺",Video,,,"10/02/2019 12:00:01 PM"," ",109283,109283,0,135944,135944,0,9994,8870,12546,23,23,51398,41103,0,0,4061,525,525,0,0,44396,45546,0,0,17976,353791,51,1353,29,,55,1361,41,,4764,6695,1,,4926,7619,1,,13,10,,,13,10,,
110764313093221_321156335387350,https://www.facebook.com/jowradio/posts/321156335387350,"الصعوبات اللي تلقاها صاحب منانوك  الإنجليزي في تعلم اللغة العربية 😂😂😂
اسمعونا على : www.jow.radio
كل الثلاثاء: 21 سا ـ 00 سا #LDTH",Video,,,"10/02/2019 08:30:00 AM"," ",2003552,2003552,0,3490018,3490018,0,399934,366455,514403,415,428,342932,160685,0,0,48169,344538,383915,0,0,929544,1223665,0,0,46918,196159,6272,53345,4211,,6851,57778,4796,,243283,187413,1159,,276663,236522,1211,,144,283,1,,143,280,1,
110764313093221_321163228719994,https://www.facebook.com/jowradio/posts/321163228719994,"متنساوش الموعد تاعكم لي يجيكم كل  الاربعاء من 21سا ل 23 سا واش L'artiste  ليوم راح تكون حصة خاصة للمرحوم شاب حسني مع العديد من الفنانين كونو معانا 
#BranchiwJow 
اسمعونا على : www.jow.radio",Photo,,,"10/02/2019 08:27:56 AM"," ",25887,25887,0,32014,32014,0,548,279,331,1,1,17859,14532,0,0,435,0,0,0,0,0,0,0,0,0,0,2,273,9,,2,276,9,,,188,40,62,,225,44,62,,1,,,,1,,
110764313093221_321118172057833,https://www.facebook.com/jowradio/posts/321118172057833,"منانوك LDTH : &quot; خدمت 12 أغنية للشاب حسني قبل ما يموت و مازالهم عندي&quot; 🎼😯
اسمعونا على : www.jow.radio
كل الثلاثاء: 21 سا ـ 00 سا #LDTH",Video,,,"10/02/2019 07:01:10 AM"," ",1151734,1151734,0,1709308,1709140,0,233769,224614,283378,296,301,207937,126321,0,0,31158,155436,155436,0,0,552295,626909,0,0,51947,214762,639,21050,810,,684,22772,1042,,139909,116181,599,,141588,141186,593,,99,201,1,,98,199,1,
110764313093221_320815012088149,https://www.facebook.com/jowradio/posts/320815012088149,"إطلاق حملة التوعية ضد سرطان الثدي 
 (أكتوبرالوردي )
اسمعونا على : www.jow.radio 
#serkala",Video,,,"10/02/2019 06:00:01 AM"," ",33317,33317,0,40795,40795,0,1408,1086,1322,6,6,18903,15581,0,0,651,149,155,0,0,14194,14615,0,0,8490,136703,8,343,14,,8,360,14,,702,509,24,,707,591,24,,3,3,,,3,3,,
110764313093221_320957045407279,https://www.facebook.com/jowradio/posts/320957045407279,"راك غالط يا مواطن😕😔اسمع تفهم علاش يا مواطن",Video,,,"10/02/2019 04:00:02 AM"," ",66939,66939,0,81583,81583,0,6106,5630,7855,10,10,31751,25503,0,0,2549,593,603,0,0,30414,32103,0,0,10288,133866,19,572,61,,20,600,89,,3314,4219,,,3336,4519,,,7,3,,,7,3,,
110764313093221_320795505423433,https://www.facebook.com/jowradio/posts/320795505423433,"هايليك لحظة إلتقاء الفنان الجلطي مع محمد بارتي المدعو منانوك⁦ 🤣😅🤩

Écoutez nous sur : www.jow.radio
Chaque Mardi, de 21h à 00:00 
#LDTH",Video,,,"10/01/2019 04:14:43 PM"," ",4888209,4888209,0,7013829,7013827,0,611119,598880,925814,623,654,145444,84277,0,0,31181,664888,726974,0,0,2390945,2641024,0,0,19388,50623,1993,22322,4451,,2134,23273,5130,,304048,498325,1988,,344113,579626,2049,,369,285,,,369,283,,
110764313093221_320778708758446,https://www.facebook.com/jowradio/posts/320778708758446,"اكتشفوا القصة الحقيقية تاع محمد بارتي المدعو منانوك⁦☹️⁩
أسمعونا رانا على المباشر رانا هنا : www.jow.radio 
#LDTH",Photo,,,"10/01/2019 03:25:33 PM"," ",49186,49186,0,63175,63175,0,5593,4714,6600,4,4,41081,31688,0,0,3802,0,0,0,0,0,0,0,0,0,0,5,914,104,,5,930,120,,,2325,2082,1326,,3032,2192,1376,4,,,,4,,,
110764313093221_320776792091971,https://www.facebook.com/jowradio/posts/320776792091971,"Esem3ouna Rana Live avec notre invité Mohamed Barti &quot; Mnanauk&quot; 😂🤣

أسمعونا رانا على المباشر في www.jow.radio

#LDTH",Video,,,"10/01/2019 03:20:05 PM"," ",1465212,1465212,0,1982773,1982773,0,138645,135365,181033,150,148,72783,49293,0,0,13627,249634,251806,0,0,584287,663953,0,0,19304,59541,158,5524,515,,161,5524,574,,55472,106771,928,,59395,120680,951,,78,70,,,78,70,,
110764313093221_320650132104637,https://www.facebook.com/jowradio/posts/320650132104637,"ضيفنا الثاني هو جلطي، ما تراطيوش حصة  لي ديبلومي من 21 سا- 00 سا 😍
اسمعونا على: www.jow.radio",Photo,,,"10/01/2019 09:53:23 AM"," ",25411,25411,0,30509,30509,0,561,375,419,3,3,19081,15356,0,0,404,0,0,0,0,0,0,0,0,0,0,2,204,31,,2,206,35,,,259,61,74,,282,63,74,2,1,,,2,1,,
