"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Talking About This (Post) by action type - answer","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Stories by action type - answer","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - report_spam_clicks","Lifetime Negative Feedback from Users by Type - unlike_page_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - report_spam_clicks","Lifetime Negative Feedback by Type - unlike_page_clicks"
110764313093221_336833873819596,https://www.facebook.com/jowradio/posts/336833873819596,"ضيوفنا اليوم في حصة بالون هوما أنصار شباب بلوزداد 😍 طاقيو صاحبكم يشجع CRB 😍 
اسمعونا على: www.jow.radio 
21h-23h #BallON",Photo,,,"10/27/2019 12:25:01 PM"," ",65120,65120,0,71298,71298,0,2325,1746,2129,5,5,37971,34364,0,0,1078,0,0,0,0,0,0,0,0,0,0,11,703,134,,14,742,166,,,1071,483,426,,1202,493,434,4,1,,,4,1,,
110764313093221_336811623821821,https://www.facebook.com/jowradio/posts/336811623821821,"نورا خالدي..  قصة نجاح ملهمة إنطلقت من تبسة ولمعت في أوروبا",Video,,,"10/27/2019 11:39:29 AM"," ",104833,104833,0,115368,115368,0,6921,5871,8120,20,20,42971,38658,0,0,2566,3238,3238,0,0,21090,22683,0,0,13828,102911,250,1637,148,,298,1668,180,,2338,4827,,,2466,5653,,,7,12,1,,7,12,1,
110764313093221_336281740541476,https://www.facebook.com/jowradio/posts/336281740541476,"شاهدوا لي ديبلومي في تحدي  الرسوم المتحركة 😂
اسمعونا على : www.jow.radio
كل الثلاثاء: 21 سا ـ 00 سا #LDTH",Video,,,"10/27/2019 02:00:01 AM"," ",125177,125177,0,140946,140946,0,11542,10353,13336,35,35,60240,51153,0,0,4607,2207,2242,0,0,42527,44919,0,0,54300,612394,29,1742,57,,29,1904,73,,5253,6335,70,,5349,7916,71,,13,22,,,13,22,,
110764313093221_335747743928209,https://www.facebook.com/jowradio/posts/335747743928209,"تبريحة في خاطر سنشيرو البطل المغوار 😂
 أو نتوما تشفاولو سنشيرو ؟
اسمعونا على : www.jow.radio
كل الثلاثاء: 21 سا ـ 00 سا #LDTH",Video,,,"10/26/2019 12:00:02 PM"," ",29437,29437,0,32643,32643,0,1850,1626,1950,7,7,19970,17714,0,0,1064,146,148,0,0,1789,1870,0,0,8895,86314,13,301,43,,14,311,49,,710,1103,15,,745,1189,16,,3,4,,,3,4,,
110764313093221_335731683929815,https://www.facebook.com/jowradio/posts/335731683929815,"أسمعوا الفرقة الموسيقية تاع لي ديبلومي في &quot;أغنية عيب عليك أو نتي مهنية&quot; 🎶😍  
اسمعونا على : www.jow.radio
كل الثلاثاء: 21 سا ـ 00 سا #LDTH",Video,,,"10/26/2019 06:00:00 AM"," ",37261,37261,0,41241,41241,0,2354,1915,2488,6,6,21457,19139,0,0,1362,110,128,0,0,3050,3204,0,0,13314,148799,14,498,12,,14,508,17,,743,1541,15,,796,1677,15,,3,3,,,3,3,,
110764313093221_333985987437718,https://www.facebook.com/jowradio/posts/333985987437718,"حالة كارثية لطرقات في الجزائر",Video,,,"10/26/2019 04:00:00 AM"," ",32722,32722,0,36186,36186,0,1341,1100,1371,7,7,21644,20168,0,0,806,54,54,0,0,2518,2643,0,0,11182,210922,2,300,9,,2,309,10,,451,817,,,451,920,,,3,4,,,3,4,,
110764313093221_335698927266424,https://www.facebook.com/jowradio/posts/335698927266424,"شاهد جميل غولي المدعو&quot;جام&quot;  يتكلم على  الموسيقى التجارية 🎶
اسمعونا على : www.jow.radio
كل الثلاثاء: 21 سا ـ 00 سا #LDTH",Video,,,"10/26/2019 02:00:00 AM"," ",29863,29863,0,33941,33940,0,1801,1522,1950,6,6,19312,17138,0,0,1155,131,132,0,0,1815,1902,0,0,12291,125994,3,333,12,,3,334,13,,547,1203,18,,546,1386,18,,3,3,,,3,3,,
110764313093221_335631387273178,https://www.facebook.com/jowradio/posts/335631387273178,"أميرة ريا و قصة مشاركتها في حصة سوق النسا 
اسمعونا على : www.jow.radio
كل الثلاثاء: 21 سا ـ 00 سا #LDTH",Video,,,"10/25/2019 03:00:01 PM"," ",33401,33401,0,38358,38358,0,2545,2332,2793,8,8,24334,21877,0,0,1456,499,512,0,0,2354,2483,0,0,24820,117162,6,291,62,,6,323,69,,893,1628,25,,921,1847,25,,5,3,,,5,3,,
110764313093221_335606217275695,https://www.facebook.com/jowradio/posts/335606217275695,"أميرة ريا ترد على منتقديها بعد دخولها عالم التنشيط 👌😊
اسمعونا على : www.jow.radio
كل الثلاثاء: 21 سا ـ 00 سا #LDTH",Video,,,"10/25/2019 01:30:00 PM"," ",51598,51598,0,58578,58581,0,5498,5165,6792,18,18,30821,27252,0,0,2888,291,291,0,0,3155,3155,0,0,21470,167551,4,540,143,,4,557,170,,1897,4025,21,,1978,4792,21,,12,6,,,12,6,,
110764313093221_335583880611262,https://www.facebook.com/jowradio/posts/335583880611262,"25 أكتوبر  :  هو اليوم العالمي للعجائن 😁
 La journée mondiale des pâtes 

أسمعونا على  : www.jow.radio",Photo,,,"10/25/2019 12:26:54 PM"," ",23132,23132,0,24919,24919,0,429,322,350,1,1,16352,14947,0,0,326,0,0,0,0,0,0,0,0,0,0,1,131,36,,1,133,39,,,246,10,71,,270,10,70,,1,,,,1,,
