"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Talking About This (Post) by action type - answer","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Stories by action type - answer","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - unlike_page_clicks","Lifetime Negative Feedback from Users by Type - report_spam_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - unlike_page_clicks","Lifetime Negative Feedback by Type - report_spam_clicks"
110764313093221_403313003838349,https://www.facebook.com/jowradio/posts/403313003838349,"في الذكرى الأولى لرحيله عز الدين الشلفي .. فنان الزوالية الذي سجن بسبب أغنية ... تعرف على سيرته في هذا الفيديو  ..",Video,,,"02/05/2020 04:00:00 AM"," ",2052811,2052811,0,2145826,2145826,0,182933,138557,182337,122,128,112667,108791,0,0,12265,168422,168422,0,0,691994,691994,0,0,15875,81023,7103,54746,4714,,7668,58833,5031,,29356,131034,1,,33307,149026,1,,48,80,,,48,75,,
110764313093221_403318963837753,https://www.facebook.com/jowradio/posts/403318963837753,"عبد الرحمان عزيز  صاحب رائعة &quot; يا كعبة يا بيت ربي محلاكي &quot; ..   الفنان الملتزم الذي عالج المرضى بالموسيقى رفقة فرانز فانون .. تعرف على سيرته في هذا الفيديو",Video,,,"02/05/2020 02:00:00 AM"," ",93209,93209,0,95489,95489,0,4569,3019,3884,16,16,44878,42696,0,0,2155,2168,2168,0,0,25914,26256,0,0,8105,98303,270,1737,116,,297,1763,144,,674,2788,,,712,3172,,,7,9,,,7,9,,
110764313093221_402835340552782,https://www.facebook.com/jowradio/posts/402835340552782,"في ذكرى وفاة المجاهد بن يوسف بن خدة ( 04 فيفري 2003 ) .. الصيدلي والمثقف ورئيس ثالث حكومة مؤقتة  ..  تعرف على سيرته في هذ الفيديو",Video,,,"02/04/2020 02:29:35 AM"," ",83407,83407,0,85390,85390,0,3510,2538,3152,8,9,40934,39987,0,0,1535,2161,2161,0,0,21317,21317,0,0,10540,140799,323,1209,67,,363,1228,77,,415,2363,,,446,2705,,,5,3,1,,5,3,1,
110764313093221_401600464009603,https://www.facebook.com/jowradio/posts/401600464009603,"🔴 تبعوا المغامرات المضحكة تاع هاذ المستمعة 
🔴 و نتوما عندكم سر ؟ أبعثولنا تسجيل صوتي فالواتساب تاع الحصة: 0770149543
__________
#SERREKFIJOW #JOW #RADIO",Video,,,"02/03/2020 01:00:00 PM"," ",57832,57832,0,61295,61295,0,2900,2566,3255,14,14,33520,31767,0,0,1652,773,784,0,0,17271,17847,0,0,18808,260671,9,445,18,,9,445,23,,625,2231,,,648,2607,,,6,8,,,6,8,,
110764313093221_402514233918226,https://www.facebook.com/jowradio/posts/402514233918226,"في ذكرى وفاة المجاهد بن يوسف بن خدة ( 04 فيفري 2003 ) .. الصيدلي والمثقف ورئيس ثالث حكومة مؤقتة  ..  تعرف على سيرته في هذ الفيديو",Video,,,"02/03/2020 09:13:52 AM"," ",69435,69435,0,70363,70363,0,3140,2219,2657,4,4,34525,33193,0,0,1416,1949,1949,0,0,18382,18520,0,0,11121,140799,323,1041,67,,333,1111,76,,313,2071,,,327,2330,,,1,3,,,1,3,,
110764313093221_401594017343581,https://www.facebook.com/jowradio/posts/401594017343581,"🔴 أسمعوا الحكاية المؤلمة تاع هاذ المستمعة ...
  🔴 و نتوما عندكم سر ؟ أبعثولنا تسجيل صوتي فالواتساب تاع الحصة: 0770149543
__________
#SERREKFIJOW #JOW #RADIO",Video,,,"02/02/2020 01:00:00 PM"," ",112800,112800,0,118316,118316,0,7123,6510,8935,30,32,59676,56389,0,0,3789,892,908,0,0,37513,40987,0,0,29401,766314,36,1121,88,,36,1202,103,,1253,5963,,,1331,7615,,,17,15,,,17,15,,
110764313093221_401990150637301,https://www.facebook.com/jowradio/posts/401990150637301,"ضيفة جو الصباح غدوة راح تكون الممثلة إيمان نوال من 6سا حتى 9سا تاع صباح 

اسمعونا على : www.jow.radio",Photo,,,"02/02/2020 07:44:47 AM"," ",46848,46848,0,47188,47188,0,1655,1398,1635,4,4,29141,29002,0,0,1168,0,0,0,0,0,0,0,0,0,0,,258,16,,,259,20,,,896,133,508,,989,140,506,2,2,,,2,2,,
110764313093221_401088377394145,https://www.facebook.com/jowradio/posts/401088377394145,"أسمعوا كنزة مرسلي تغني أغنية &quot;كيفك أنت&quot; تاع الفنانة فيروز

#LDTH #JOW #RADIO",Video,,,"02/01/2020 09:00:00 AM"," ",47436,47436,0,47803,47803,0,2652,2344,2819,8,8,25293,24339,0,0,1450,331,331,0,0,15291,15621,0,0,7146,97791,5,403,118,,6,417,140,,474,2036,,,476,2343,,,6,2,,,6,2,,
110764313093221_401335640702752,https://www.facebook.com/jowradio/posts/401335640702752,"في ذكرى ميلاد ملك الأغنية العاطفية &quot; الشاب حسني&quot; ..الذي غنى للأمل والحب في سنوات الظلام ... شاهد قصته في هذا الفيديو",Video,,,"02/01/2020 03:00:00 AM"," ",2006891,2006891,0,2154827,2154827,0,175958,151311,195997,196,199,115031,107195,0,0,10606,118234,124484,0,0,712871,722901,0,0,22361,142783,6238,33594,3304,,6657,36743,3905,,35160,133727,1,,40461,155528,1,,85,114,,,85,114,,
110764313093221_400125054157144,https://www.facebook.com/jowradio/posts/400125054157144,"🔴 أكتشفوا قصة هاذ المستمعة اللي بعد عشرة طويلة الآن ...

🔴 و نتوما عندكم سر ؟ أبعثولنا تسجيل صوتي فالواتساب تاع الحصة: 0770149543
__________
#SERREKFIJOW #JOW #RADIO",Video,,,"01/30/2020 01:00:00 PM"," ",118306,118306,0,121653,121653,0,8312,7709,9608,29,29,50230,48545,0,0,3493,2892,2945,0,0,40066,42068,0,0,28956,308393,26,709,66,,33,709,139,,1545,6692,,,1601,8007,,,11,18,,,11,18,,
