"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Talking About This (Post) by action type - answer","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Stories by action type - answer","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - unlike_page_clicks","Lifetime Negative Feedback from Users by Type - report_spam_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - unlike_page_clicks","Lifetime Negative Feedback by Type - report_spam_clicks"
110764313093221_381523499350633,https://www.facebook.com/jowradio/posts/381523499350633,"في ذكرى ميلاد أيقونة السينما الجزائرية ... سيدعلي كويرات المشهور ب &quot; ياعلي موت واقف &quot; ...تعرفوا أكثر على قصته في  هذا الفديو",Video,,,"01/02/2020 05:00:00 AM"," ",1309710,1309710,0,1412987,1412987,0,98461,74692,90750,160,164,87176,80791,0,0,7443,67053,67654,0,0,486431,497958,0,0,16645,116799,4203,28686,1424,,4782,28813,1594,,14356,68734,,,15036,75710,,,58,106,,,57,106,,
110764313093221_381539599349023,https://www.facebook.com/jowradio/posts/381539599349023,"شوفوا معانا Quizz تع نورهان زغيد بطلة سيتكوم دارنا شو ماتراطيوش 🤩😅",Video,,,"01/02/2020 03:00:00 AM"," ",385560,385560,0,487994,487994,0,72266,69613,89049,57,59,88285,77067,0,0,12732,115396,117042,0,0,256369,286549,0,0,23776,56318,82,3941,1031,,95,4142,1276,,38773,37705,,,42676,46368,,,17,42,,,17,39,,
110764313093221_381441072692209,https://www.facebook.com/jowradio/posts/381441072692209,"مطعم حمص double زيت بالحراش .. أكثر من 60 سنة  من الوجود ...تعرف على قصة المطعم 😋",Video,,,"01/02/2020 02:00:12 AM"," ",284897,284897,0,298514,298514,0,18534,14401,18218,30,30,109429,105883,0,0,7235,7458,7687,0,0,108175,110485,0,0,19632,190634,236,4924,322,,253,5117,422,,2645,13068,,,2789,15429,,,12,18,,,12,18,,
110764313093221_381513156018334,https://www.facebook.com/jowradio/posts/381513156018334,"شاهدوا معنا قصة مزاوي زين  العابدين صاحب صفحة واش قريت",Video,,,"01/01/2020 08:00:03 AM"," ",120581,120581,0,125940,125940,0,3538,2674,3906,7,7,53001,50431,0,0,1520,642,674,0,0,27714,31091,0,0,6360,214698,110,1335,141,,114,1567,190,,749,2234,1,,792,3113,1,,4,3,,,4,3,,
110764313093221_381433389359644,https://www.facebook.com/jowradio/posts/381433389359644,"&quot;خاتم صبعي&quot; أو &quot;علاش نلوم &quot;.. أغنية من التراث السطايفي وهي من أكثر الأغاني تداولا في الأعراس  تروي قصة حب لم تكتمل  … تعرفوا على حكايتها  في هذا الفيديو",Video,,,"01/01/2020 05:00:44 AM"," ",1292869,1292869,0,1441102,1441102,0,124147,100179,136329,204,204,118232,105690,0,0,13090,92953,97891,0,0,443140,481804,0,0,15982,93802,5600,34915,2950,,6152,36817,4165,,27537,86772,,,33524,102802,,,84,120,,,83,120,,
110764313093221_382277069275276,https://www.facebook.com/jowradio/posts/382277069275276,"جو راديو تتمنالكم عام سعيد و كل عام و نتوما بخير 😍",Photo,,,"01/01/2020 03:53:04 AM"," ",26573,26573,0,28216,28216,0,617,253,277,5,5,16355,15874,0,0,453,0,0,0,0,0,0,0,0,0,0,,400,16,,,406,20,,,180,,76,,200,,77,4,1,,,4,1,,
110764313093221_381431449359838,https://www.facebook.com/jowradio/posts/381431449359838,"في ذكرى ميلاد عملاق الشعبي &quot;عمر الزاهي&quot; ...الفنان الذي أدار ظهره للشهرة... لكن الشهرة تمسكت به

ولد عمر الزاهي في  الفاتح من جانفي   1941 .",Video,,,"01/01/2020 03:00:18 AM"," ",353128,353128,0,359434,359434,0,21962,15991,20266,44,45,102492,96552,0,0,6221,12004,12004,0,0,97240,100482,0,0,12573,132714,1054,8140,716,,1118,8401,834,,3954,13619,2,,4215,16048,2,,20,25,,,20,25,,
110764313093221_380981036071546,https://www.facebook.com/jowradio/posts/380981036071546,"إكتشفوا القصة المؤلمة تاع هاذ المستمعة اللي تطلب يد العون ! 
و نتوما عندكم سر ؟ أبعثولنا تسجيل صوتي فالواتساب تاع الحصة: 0770149543
#SERREKFIJOW",Video,,,"12/31/2019 12:00:03 PM"," ",92139,92139,0,97655,97655,0,3549,3036,3888,9,9,53028,50799,0,0,1993,310,315,0,0,28228,30071,0,0,16785,613545,13,724,30,,14,752,49,,647,2648,,,699,3188,,,6,3,,,6,3,,
110764313093221_381706449332338,https://www.facebook.com/jowradio/posts/381706449332338,"عدد هبال مع لي ديبلومي 🔥
⁦⬅️⁩ أتصلوا بنا أو شاركونا أهم الاحداث اللي جازت عليكم في 2019 🤩",Photo,,,"12/31/2019 11:10:03 AM"," ",22051,22051,0,22489,22489,0,222,141,157,6,6,13085,12773,0,0,166,0,0,0,0,0,0,0,0,0,0,,89,3,,,89,3,,,94,,51,,105,,52,4,2,,,4,2,,
110764313093221_381450629357920,https://www.facebook.com/jowradio/posts/381450629357920,"&quot; تميوثي ليري&quot; عالم النفس غريب الأطوار وملك عقار LSD … حين لجأ أخطر رجل في أمريكا  إلى الجزائر .. تعرف على القصة الكاملة",Video,,,"12/31/2019 07:00:07 AM"," ",248952,248952,0,260469,260469,0,19461,18254,22287,69,72,47288,43316,0,0,3250,25781,25781,0,0,97541,97541,0,0,22571,115626,293,1533,64,,311,1569,85,,8046,12940,,,8191,14095,,,20,52,,,19,50,,
110764313093221_381361729366810,https://www.facebook.com/jowradio/posts/381361729366810,"شوفوا معانا Quizz تع جليل طيبي الموهبة لي دارت  ضجة في مواقع التواصل الإجتماعي ماتراطيوش😍",Video,,,"12/31/2019 03:46:42 AM"," ",167365,167365,0,184509,184509,0,13943,12801,15884,33,35,74952,69591,0,0,6609,2237,2237,0,0,79135,82674,0,0,21510,221439,11,1707,126,,11,1736,166,,4188,9898,,,4360,11524,,,14,21,,,14,21,,
110764313093221_380734559429527,https://www.facebook.com/jowradio/posts/380734559429527,"&quot;خاتمي صبعي أو علاش نلوم &quot; ..أغنية من التراث السطايفي وهي من أكثر الأغاني تداولا في الأعراس  تروي قصة حب لم تكتمل  … تعرفوا على حكايتها  في هذا الفيديو",Video,,,"12/30/2019 06:31:35 AM"," ",3977794,3977794,0,4668745,4668745,0,408349,348909,485523,1175,1191,210135,168581,0,0,27800,331055,358529,0,0,1408409,1646321,0,0,17633,93802,17779,93153,7447,,19742,104889,11217,,94054,301389,7,,117829,367835,8,,418,773,,,417,756,,
110764313093221_380722922764024,https://www.facebook.com/jowradio/posts/380722922764024,"مناصر نصر حسين داي : &quot; هذه هي المشاكل في النادي &quot; 
اسمعونا على : www.jow.radio",Video,,,"12/30/2019 06:12:15 AM"," ",43691,43691,0,47497,47497,0,1485,1145,1466,3,3,20429,19156,0,0,702,530,544,0,0,12305,13571,0,0,5614,77354,12,387,21,,23,394,29,,324,876,51,,347,1065,54,,1,2,,,1,2,,
110764313093221_380626439440339,https://www.facebook.com/jowradio/posts/380626439440339,"شوفوا معانا شوقي سماتي في Quizz تع jow /jow pas  ماتراطيوش 😅🤩",Video,,,"12/30/2019 03:23:22 AM"," ",104904,104904,0,110878,110878,0,6031,5348,6534,13,13,60362,54126,0,0,3595,1604,1609,0,0,37008,38932,0,0,17877,310313,15,1026,33,,21,1065,39,,1260,4626,1,,1288,5245,1,,9,4,,,9,4,,
110764313093221_380011149501868,https://www.facebook.com/jowradio/posts/380011149501868,"شاهدوا معنا قصة مراد صاحب محل حمص double زيت بالحراش",Video,,,"12/29/2019 07:00:06 AM"," ",939579,939579,0,1075339,1075339,0,86723,74605,96076,148,149,153682,140183,0,0,15872,45942,46680,0,0,419184,467232,0,0,30597,190634,1648,18567,1187,,1785,19336,1652,,27883,54482,,,30235,65837,,,32,117,,,32,115,,
110764313093221_379917166177933,https://www.facebook.com/jowradio/posts/379917166177933,"حكيم الأندلس الأمازيغي وعالمها  … تعرف على قصة عباس بن فرناس أول من حاول الطيران في التاريخ",Video,,,"12/29/2019 03:56:35 AM"," ",4206810,4206810,0,4724986,4724986,0,234769,158455,202291,665,680,97545,86052,0,0,8587,202956,208377,0,0,1171660,1264393,0,0,11899,107754,34711,79692,3159,,35816,82998,5951,,24997,152278,5,,26263,175976,6,,315,364,1,,314,357,1,
110764313093221_379340616235588,https://www.facebook.com/jowradio/posts/379340616235588,"شاهدوا قصة المدفع الجزائري  &quot;بابا مرزوق&quot; الذي قذف بقنصلين فرنسيين في عرض البحر  ...",Video,,,"12/28/2019 07:31:57 AM"," ",595276,595276,0,620728,620728,0,46477,42523,53697,116,119,51201,45326,0,0,4340,49970,50219,0,0,285923,295196,0,0,23416,118122,2135,4283,197,,2290,4452,321,,15360,32387,,,16297,37398,,,26,93,,,25,91,,
110764313093221_379225182913798,https://www.facebook.com/jowradio/posts/379225182913798,"هواري منار، عز الدين الشلفي، دڨة، محمد زغدي، بن خرف الله.. وآخرهم محمد العماري !!",Link,,,"12/28/2019 04:50:45 AM"," ",34053,34053,0,34879,34879,0,950,778,866,12,12,21166,20860,0,0,630,0,0,0,0,0,0,0,0,0,0,2,187,42,,2,195,50,,,481,323,,,536,330,,7,5,,,7,5,,
110764313093221_379158019587181,https://www.facebook.com/jowradio/posts/379158019587181,"هل كنت تعلم أن شارلي شابلين عبقري السينما  قد زار الجزائر سنة 1931 ؟ 
 تعرف على قصة زيارته للجزائر وسبب زيارته لها وماذا قال عن سكانها ....",Video,,,"12/28/2019 03:00:04 AM"," ",141580,141580,0,147697,147697,0,9107,7751,9718,23,23,40542,37397,0,0,2707,8000,8177,0,0,47319,48899,0,0,16765,112746,348,1728,65,,360,1762,80,,2267,6675,1,,2386,7331,1,,7,16,,,7,16,,
110764313093221_378722026297447,https://www.facebook.com/jowradio/posts/378722026297447,"&quot;يا المنفي&quot;.. الأغنية التي تحكي مأساة الجزائريين المنفيين إلى كاليدونيا .. تعرف على قصة هذه الأغنية",Video,,,"12/27/2019 10:43:37 AM"," ",792201,792201,0,862067,862067,0,63196,45633,59168,97,98,73831,68735,0,0,6936,51834,53702,0,0,259225,288907,0,0,13748,76842,3975,20002,572,,4234,20996,777,,10947,40573,,,12447,46718,,,26,72,,,25,73,,
110764313093221_378014706368179,https://www.facebook.com/jowradio/posts/378014706368179,"أكتشفوا القصة الحزينة تاع هاذ امستمع اللي في يوم من الأيام، هجرت الأم ديالو...!
📢و نتوما عندكم سر ؟ أبعثولنا تسجيل صوتي فالواتساب تاع الحصة: 0770149543

#SERREKFIJOW",Video,,,"12/26/2019 12:00:03 PM"," ",55084,55084,0,56496,56496,0,2025,1604,2047,10,10,25146,23901,0,0,910,172,172,0,0,15425,15549,0,0,9823,338282,22,493,13,,25,520,14,,624,1194,,,648,1399,,,9,1,,,9,1,,
110764313093221_378007653035551,https://www.facebook.com/jowradio/posts/378007653035551,"أسمعوا حكاية هاذ المستمع اللي تعرض لصدمة ،بعد علاقة عاطفية ...
📢 و نتوما عندكم سر ؟ أبعثولنا تسجيل صوتي فالواتساب تاع الحصة: 0770149543

#SERREKFIJOW",Video,,,"12/26/2019 11:00:03 AM"," ",111612,111612,0,117546,117546,0,7443,6974,9093,21,21,59245,56292,0,0,3954,999,999,0,0,35850,38435,0,0,21680,478719,28,838,89,,31,878,110,,1258,6371,,,1360,7733,,,13,8,,,13,8,,
110764313093221_377906159712367,https://www.facebook.com/jowradio/posts/377906159712367,"الجزائرية فاطمة ميلاني تحكي تجربتها في &quot; غوغل &quot;  ..شاهد",Video,,,"12/26/2019 07:39:09 AM"," ",115423,115423,0,120449,120449,0,7557,6142,7448,27,27,50414,48042,0,0,3250,873,879,0,0,52090,52791,0,0,18079,308863,119,1732,87,,129,1755,95,,1535,5465,,,1576,5872,,,6,21,,,6,21,,
110764313093221_377761019726881,https://www.facebook.com/jowradio/posts/377761019726881,"في ذكرى رحيله ( 27 ديسمبر 1978  )...  تعرف على سيرة ثان رئيس للجزائر",Video,,,"12/26/2019 07:00:07 AM"," ",376405,376405,0,375115,375115,0,24161,17006,21969,113,113,85767,83419,0,0,5856,13643,13751,0,0,84371,91353,0,0,11844,127829,1855,8162,1392,,2132,8812,2083,,3714,14823,1,,4038,17901,1,,51,62,,,52,63,,
110764313093221_377737256395924,https://www.facebook.com/jowradio/posts/377737256395924,"ربيع  بن إبراهيم vlogger  تونسي شوفوا واش قالنا على أول زيارة ليه للجزائر ماتراطيوش 😍
The Dreamer",Video,,,"12/26/2019 02:54:10 AM"," ",41222,41222,0,43273,43273,0,1512,1280,1627,3,3,20294,19320,0,0,782,205,209,0,0,9556,9957,0,0,7773,173397,3,302,7,,3,319,10,,455,1023,,,464,1163,,,3,,,,3,,,
110764313093221_377044146465235,https://www.facebook.com/jowradio/posts/377044146465235,"هل كنت تعلم أن شارلي شابلين عبقري السينما  قد زار الجزائر سنة 1931 ؟ 
 تعرف على قصة زيارته للجزائر وسبب زيارته لها وماذا قال عن سكانها ....",Video,,,"12/25/2019 07:00:07 AM"," ",2558643,2558643,0,2661773,2661773,0,215268,197530,240592,400,398,89663,77891,0,0,10282,211253,212074,0,0,1039048,1075222,0,0,23484,112746,6973,19082,556,,7373,19082,697,,60752,163614,4,,61347,179233,4,,126,272,,,125,273,,
110764313093221_376411753195141,https://www.facebook.com/jowradio/posts/376411753195141,"تعرفوا على قصة نجاح فاطمة ميلاني مديرة تطوير الأعمال في شركة جوجل",Video,,,"12/25/2019 03:25:02 AM"," ",215524,215524,0,234888,234888,0,18405,15726,18632,63,63,70875,64763,0,0,5377,2605,2623,0,0,108165,109964,0,0,22858,308863,425,3381,217,,504,3416,294,,5420,11533,,,5426,13204,,,14,49,,,14,50,,
110764313093221_376277893208527,https://www.facebook.com/jowradio/posts/376277893208527,"&quot;يا المنفي&quot;.. الأغنية التي تحكي مأساة الجزائريين المنفيين إلى كاليدونيا .. تعرف على قصة هذه الأغنية",Video,,,"12/24/2019 03:59:32 AM"," ",2567309,2567309,0,2802864,2802864,0,219403,174314,217151,468,480,132565,110103,0,0,13523,206163,210458,0,0,977941,1055629,0,0,15739,76842,16362,47963,1657,,17802,51235,2316,,46547,151762,1,,51735,165408,1,,139,341,,,135,331,,
110764313093221_375678843268432,https://www.facebook.com/jowradio/posts/375678843268432,"في الذكرى الرابعة لرحيل الزعيم الثوري آيت أحمد ( 23 ديسمبر 2015 ) .. تعرف على سيرة هذا المجاهد والمثقف الذي ناضل من أجل الجزائر لأكثر من 70 سنة",Video,,,"12/23/2019 07:10:57 AM"," ",354228,354228,0,369370,369370,0,21398,14145,17930,46,47,79327,72166,0,0,4434,7256,7371,0,0,91206,97458,0,0,11449,198229,1982,8994,1394,,2211,9783,1902,,2912,12280,,,3021,14897,,,20,27,,,20,27,,
110764313093221_375655926604057,https://www.facebook.com/jowradio/posts/375655926604057,"من مقاومة الاستعمار إلى مواقفه التاريخية بعد حراك 22 فيفيري 
تعرف على سيرة الراحل &quot; أحمد قايد صالح &quot;",Video,,,"12/23/2019 06:14:56 AM"," ",3072120,3072120,0,3483752,3483752,0,309233,198061,247573,892,941,159016,139208,0,0,19171,197097,210141,0,0,1326128,1469718,0,0,20244,113002,29221,115856,9320,,33176,124910,11535,,58863,158782,,,65648,181886,,,398,542,,1,381,535,,1
110764313093221_375517433284573,https://www.facebook.com/jowradio/posts/375517433284573,"نائب وزير الدفاع أحمد قايد صالح في ذمة الله",Link,,,"12/23/2019 01:58:45 AM"," ",45622,45622,0,47173,47173,0,1737,1103,1214,14,14,29347,28663,0,0,1093,0,0,0,0,0,0,0,0,0,0,32,686,118,,32,716,147,,,717,385,2,,825,387,2,6,8,,,6,8,,
110764313093221_374529023383414,https://www.facebook.com/jowradio/posts/374529023383414,"أسمعوا رد الصحفي معمر جبور لأقوال رابح ماجر 🔥
اسمعونا على : www.jow.radio
كل الثلاثاء: 21 سا ـ 00 سا 
#LDTH",Video,,,"12/22/2019 12:00:03 PM"," ",312437,312437,0,432951,432951,0,29307,27073,36912,52,53,75334,55621,0,0,6369,24909,25793,0,0,148023,175042,0,0,38713,222719,425,2601,196,,450,2743,268,,12820,17386,155,,13759,22995,164,,19,34,,,18,34,,
110764313093221_375054526664197,https://www.facebook.com/jowradio/posts/375054526664197,"بعد حديث مع المسيرين ولمدرب 
جو راديو تمد الكلمة لأنصار العميد 
إتصلوا إبتداءا من التاسعة ليلا :   023982630  
للإستماع للحصة : www.jow.Radio",Photo,,,"12/22/2019 11:00:03 AM"," ",22275,22275,0,23065,23065,0,407,305,356,2,2,12983,12680,0,0,273,0,0,0,0,0,0,0,0,0,0,1,116,2,,3,116,2,,,227,22,78,,255,23,78,2,,,,2,,,
110764313093221_374501276719522,https://www.facebook.com/jowradio/posts/374501276719522,"تبعوا واش حدث فالعالم مع تينهينان 🔥
اسمعونا على : www.jow.radio
كل الثلاثاء: 21 سا ـ 00 سا
 #LDTH",Video,,,"12/22/2019 11:00:03 AM"," ",59778,59778,0,61365,61365,0,1865,1518,1821,11,11,28970,28212,0,0,1083,369,372,0,0,15778,16105,0,0,10460,258878,3,431,14,,3,440,16,,454,1168,33,,459,1326,36,,8,3,,,8,3,,
110764313093221_375082039994779,https://www.facebook.com/jowradio/posts/375082039994779,"في الذكرى الرابعة لرحيل الزعيم الثوري آيت أحمد ( 23 ديسمبر 2015 ) .. تعرف على سيرة هذا المجاهد والمثقف الذي ناضل من أجل الجزائر لأكثر من 70 سنة",Video,,,"12/22/2019 09:34:09 AM"," ",1110906,1110906,0,1307968,1307923,0,84054,56789,74234,124,123,116195,102960,0,0,7539,33008,33728,0,0,353656,392951,0,0,13518,198229,10321,31567,5261,,11713,35519,6724,,12902,49223,4,,14327,59879,4,,30,92,1,,29,94,1,
110764313093221_374884456681204,https://www.facebook.com/jowradio/posts/374884456681204,"Son départ au canada, ses motivations, ses débuts dans le rap, @Enima répond à tout ! 🎧🎤🔥",Video,,,"12/22/2019 03:47:33 AM"," ",68934,68934,0,73219,73219,0,2859,2566,3346,13,13,31658,30021,0,0,1489,333,339,0,0,17002,18006,0,0,9290,278399,10,292,52,,11,305,68,,609,2193,1,,657,2688,1,,8,5,,,8,5,,
110764313093221_374762750026708,https://www.facebook.com/jowradio/posts/374762750026708,"مقتل بلحمر في بيته العائلي على يد مجهولين بغليزان",Link,,,"12/21/2019 11:19:33 PM"," ",43878,43878,0,45952,45952,0,3014,2411,2896,11,11,28535,27516,0,0,1910,0,0,0,0,0,0,0,0,0,0,34,646,139,,35,661,155,,,1664,1006,9,,1873,1014,9,2,9,,,2,9,,
110764313093221_373386463497670,https://www.facebook.com/jowradio/posts/373386463497670,"شاهدوا معانا قصة وليد كيف إنتقل من عالم التسويق إلى صياغة الفضة",Video,,,"12/21/2019 12:00:24 AM"," ",71862,71862,0,75181,75181,0,2855,2237,2649,5,5,37784,35967,0,0,1524,1767,1767,0,0,24960,25797,0,0,14683,190143,20,743,32,,20,790,43,,423,1917,,,417,2232,,,3,2,,,3,2,,
110764313093221_373785706791079,https://www.facebook.com/jowradio/posts/373785706791079,"Algeria 2.0 ، أكبر حدث رقمي في الجزائر

 راح يكون الموعد من 21 إلى 24 ديسمبر في قصر الثقافة مفدي زكريا

www.algeria20.com",Video,,,"12/20/2019 02:53:03 PM"," ",57425,57425,0,59902,59902,0,1746,1442,1804,3,3,26732,25634,0,0,910,40,40,0,0,15720,16294,0,0,10070,929790,18,362,16,,18,375,17,,404,1064,73,,437,1294,73,,1,2,,,1,2,,
110764313093221_373386186831031,https://www.facebook.com/jowradio/posts/373386186831031,"شوفوا Quizz تع بيتشيتشي و بلال ماتراطيوش😂😂😍",Video,,,"12/20/2019 10:00:49 AM"," ",186199,186199,0,191819,191819,0,10177,8471,11073,24,24,64197,61347,0,0,3764,4704,4763,0,0,53890,55442,0,0,23895,351914,65,2414,90,,70,2543,105,,1993,7535,1,,2129,8943,1,,14,10,,,14,10,,
110764313093221_373385883497728,https://www.facebook.com/jowradio/posts/373385883497728,"حمودة بن ساعي وصفه بن نبي بالرجل &quot; المثالي الحالم &quot; .. تعرفو على قصة هذا المثقف الجزائري المنسي الذي عاش الغربة والفاقة في بلاده  حتى وفاته",Video,,,"12/20/2019 08:00:04 AM"," ",53287,53287,0,54114,54114,0,1820,1212,1512,1,1,11743,11013,0,0,445,948,952,0,0,15127,15381,0,0,10215,154389,138,604,26,,151,627,38,,360,979,1,,386,1123,1,,,1,,,,1,,
110764313093221_373463770156606,https://www.facebook.com/jowradio/posts/373463770156606,,Photo,,,"12/20/2019 04:47:56 AM"," ",19483,19483,0,19835,19835,0,366,226,243,5,5,11853,11598,0,0,254,0,0,0,0,0,0,0,0,0,0,,141,6,,,141,7,,,134,,95,,146,,97,4,1,,,4,1,,
110764313093221_373386703497646,https://www.facebook.com/jowradio/posts/373386703497646,"هو أحد أفضل المهاجمين في العالم ..عاش كابوسا  فرنسيا جعله يحلم باللعب للجزائر لكنه حلم بعيد المنال  
هذه قصة نكسة بن زيمة مع منتخب الديوك",Video,,,"12/20/2019 02:25:01 AM"," ",367481,367481,0,375006,375006,0,13940,12060,14607,20,20,38662,37350,0,0,2304,18695,20077,0,0,118817,121857,0,0,18068,152789,206,2581,104,,228,2581,121,,1779,11572,1,,1860,12746,1,,12,8,,,12,8,,
110764313093221_372774736892176,https://www.facebook.com/jowradio/posts/372774736892176,"حمودة بن ساعي وصفه بن نبي بالرجل &quot; المثالي الحالم &quot; .. تعرفو على قصة هذا المثقف الجزائري المنسي الذي عاش الغربة والفاقة في بلاده  حتى وفاته",Video,,,"12/19/2019 07:00:05 AM"," ",892690,892690,0,943776,943776,0,42200,28784,36175,72,71,61648,53754,0,0,3230,30334,30723,0,0,323861,339848,0,0,14576,154389,5127,13781,948,,5416,14476,1199,,6121,25564,,,6368,29805,,,19,52,,,19,53,,
110764313093221_372727540230229,https://www.facebook.com/jowradio/posts/372727540230229,"شوفوا Quizz تع بيتشيتشي و بلال ماتراطيوش😂😂😍",Video,,,"12/19/2019 04:00:07 AM"," ",1504900,1504900,0,1682586,1682586,0,92333,82352,110143,168,167,115915,106055,0,0,11700,48870,49184,0,0,532518,554597,0,0,28546,351914,643,17409,527,,677,18597,631,,19696,74214,,,21344,88798,,,62,105,,,62,105,,
110764313093221_372326263603690,https://www.facebook.com/jowradio/posts/372326263603690,"الزبيدي صاحب أشهر معجم في اللغة العربية ..شاهد ماذا فعل به حبه ووفاءه لزوجته زبيدة  😍😍",Video,,,"12/18/2019 11:43:48 AM"," ",58134,58134,0,59460,59460,0,1875,1489,1880,4,4,14941,13700,0,0,567,847,860,0,0,14855,15097,0,0,8577,128319,90,446,22,,93,469,29,,664,1102,,,692,1188,,,3,1,,,3,1,,
110764313093221_372178743618442,https://www.facebook.com/jowradio/posts/372178743618442,"شاهدوا معانا قصة وليد كيف إنتقل من عالم التسويق إلى صياغة الفضة",Video,,,"12/18/2019 07:08:57 AM"," ",155288,155288,0,160737,160737,0,8113,6730,8499,11,12,65013,63257,0,0,3471,4605,4605,0,0,48148,51529,0,0,17159,190143,91,2196,172,,95,2362,282,,1571,5610,,,1629,6870,,,2,10,,,2,9,,
110764313093221_372035093632807,https://www.facebook.com/jowradio/posts/372035093632807,"هو أحد أفضل المهاجمين في العالم ..عاش كابوسا  فرنسيا جعله يحلم باللعب للجزائر لكنه حلم بعيد المنال  
هذه قصة نكسة بن زيمة مع منتخب الديوك",Video,,,"12/18/2019 02:59:42 AM"," ",957302,957302,0,1003964,1003964,0,35178,32063,38759,43,47,38999,35949,0,0,2545,66166,66166,0,0,358499,371274,0,0,20859,152789,278,3406,148,,284,3406,164,,3678,31131,,,3803,34956,,,14,33,,,14,31,,
110764313093221_372033573632959,https://www.facebook.com/jowradio/posts/372033573632959,"هناك أكثر من 400 مليون شخص يتكلمون اللغة العربية و1.5 مليار شخص يستخدمونها في طقوسهم الدينية مما يجعلها خامس أكثر لغة محكية في العالم!

UNESCO",Photo,,,"12/18/2019 02:56:10 AM"," ",32224,32224,0,33444,33444,0,1066,557,652,6,6,19061,18903,0,0,665,0,0,0,0,0,0,0,0,0,0,42,552,40,,42,570,59,,,468,,112,,536,,116,3,3,,,3,3,,
110764313093221_372005546969095,https://www.facebook.com/jowradio/posts/372005546969095,"توقاعتكم لكلاسيكو الأرض 😀",,,,"12/18/2019 01:55:44 AM"," ",16948,16948,0,17108,17108,0,2175,179,195,1,1,10073,10140,0,0,1547,0,0,0,0,0,0,0,0,0,0,,106,21,2038,,114,24,2195,,177,1,,,194,1,,1,,,,1,,,
110764313093221_371937500309233,https://www.facebook.com/jowradio/posts/371937500309233,"تعمل “دنيا زاد” من خلال نشاطها الانساني على مساعدة  الفتيات على تجاوز الأزمات التي عانوا منها بسبب الحروب",Link,,,"12/17/2019 11:59:16 PM"," ",19178,19178,0,19384,19384,0,469,315,357,3,3,11722,11684,0,0,327,0,0,0,0,0,0,0,0,0,0,4,167,16,,4,171,17,,,187,147,,,210,147,,1,2,,,1,2,,
110764313093221_371670437002606,https://www.facebook.com/jowradio/posts/371670437002606,"معمر جبور على المباشر في حصتكم#LDTH
أسمعونا : www.jow.radio",Video,,,"12/17/2019 01:25:22 PM"," ",26381,26381,0,27533,27533,0,1491,1286,1548,6,6,15680,15161,0,0,956,1236,1241,0,0,8564,9042,0,0,5769,32830,5,239,27,,5,249,28,,414,966,47,,424,1078,46,,2,4,,,2,4,,
110764313093221_371632113673105,https://www.facebook.com/jowradio/posts/371632113673105,"الآن على جو راديو: www.jow.radio 
ماذا يعني أن تكون صحفي جيد ؟ 
كيف هو حال الإعلام العمومي ؟ 
الفريق الوطني و مواضيع أخرى.. ما تراطيوش!",Photo,,,"12/17/2019 12:04:39 PM"," ",21437,21437,0,21904,21904,0,365,271,318,4,4,13632,13533,0,0,268,0,0,0,0,0,0,0,0,0,0,1,109,17,,1,111,19,,,160,69,67,,178,73,67,2,2,,,2,2,,
