"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Talking About This (Post) by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Stories by action type - share","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - report_spam_clicks","Lifetime Negative Feedback from Users by Type - unlike_page_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - report_spam_clicks","Lifetime Negative Feedback by Type - unlike_page_clicks"
110764313093221_261625211340463,https://www.facebook.com/jowradio/posts/261625211340463,"غدوا رايح يكون معانا الفكاهي أمين راضي Amine Radi في حصة #MenGoalLelGoal 
كونو في الموعد من 16سا حتى 19سا ، باش تشاركو معانا عيطولنا على : 0982218281
اسمعونا على : www.jow.radio
#Branchiwjow #vadormirva",Photo,,,"05/29/2019 05:14:58 PM"," ",6932,6932,0,9511,9511,0,199,142,163,0,0,7694,5738,0,0,179,0,0,0,0,0,0,0,0,0,0,81,9,,82,11,,124,16,8,,138,16,9,,,,,,,,,
110764313093221_261348608034790,https://www.facebook.com/jowradio/posts/261348608034790,"ضيوفنا اليوم هم أعضاء جمعية الجنادية للموسيقى الأندلسية
ورايحا تكون معانا صبرين عضوة في الجمعية باش تهدرلنا على ألبوم ديالها.
تقدروا تشاركوا معانا من 23سا حتى 01سا عبر رقم الهاتف التالي : 0982218281
اسمعونا على : www.jow.radio
#Branchiwjow",Photo,,,"05/29/2019 11:00:02 AM"," ",2291,2291,0,3383,3383,0,28,18,20,0,0,2649,1840,0,0,23,0,0,0,0,0,0,0,0,0,0,12,,,13,,,11,8,,,12,8,,,,,,,,,,
110764313093221_261344141368570,https://www.facebook.com/jowradio/posts/261344141368570,"عيطولنا في #LDTR و قولونا واش هما العوايد لي يديرهم عندكم في ليلة 27 ؟ 
تقدروا تشاركوا معانا من 23سا حتى 01سا عبر رقم الهاتف التالي : 0982218281
اسمعونا على : www.jow.radio
#Branchiwjow",Photo,,,"05/29/2019 11:00:01 AM"," ",1000,1000,0,1435,1435,0,25,15,15,0,0,1161,792,0,0,24,0,0,0,0,0,0,0,0,0,0,11,1,,11,1,,9,6,,,9,6,,,,,,,,,,
110764313093221_261443104692007,https://www.facebook.com/jowradio/posts/261443104692007,"Office National des Statistiques (ONS)
Le Taux D'évolution en Algérie 
Janvier 2019",Photo,,,"05/29/2019 06:32:49 AM"," ",8144,8144,0,11639,11639,0,261,208,271,0,0,8998,6500,0,0,206,0,0,0,0,0,0,0,0,0,0,70,19,10,73,24,10,176,46,2,,224,45,2,,,,,,,,,
110764313093221_261194221383562,https://www.facebook.com/jowradio/posts/261194221383562,"الآن على جو راديو الفنانة نوال ايلول و نزيم تخربيشة
اسمعونا على www.jow.radio
#Branchiwjow",Photo,,,"05/28/2019 04:16:21 PM"," ",3340,3340,0,4613,4613,0,58,38,42,0,0,3648,2689,0,0,54,0,0,0,0,0,0,0,0,0,0,23,,,23,,,18,20,4,,18,20,4,,,,,,,,,
110764313093221_261073994728918,https://www.facebook.com/jowradio/posts/261073994728918,"فاطمة: «الرئيس الجاي لازم يكون شاب, يوفي بالوعود ديالو, ويطلب رأي الشعب في مصير البلاد »",Video,,,"05/28/2019 12:15:00 PM"," ",2800,2800,0,3830,3830,0,128,106,126,0,0,2944,2144,0,0,87,79,79,0,0,990,1085,0,0,7806,52627,23,4,1,23,6,1,66,,,55,67,,,59,,,,,,,,
110764313093221_261069561396028,https://www.facebook.com/jowradio/posts/261069561396028,"الطفلة الهام في عدد خاص من res publica الذي استضاف فيه أطفال ليشاركونا  أحلامهم لجزائر الغد : « أنا مانقبلش تفرقوني على خاوتي الشاوي , المزابي , العربي »",Video,,,"05/28/2019 11:40:00 AM"," ",7611,7611,0,10694,10694,0,375,327,469,0,0,8036,5908,0,0,239,324,348,0,0,2294,2401,0,0,6305,30462,82,16,7,93,28,7,284,,,111,348,,,120,,,,,,,,
110764313093221_261065091396475,https://www.facebook.com/jowradio/posts/261065091396475,"الهام: « بكري كنت نشوف بوتفليقة ستار مي مع الوقت فقت »",Video,,,"05/28/2019 11:15:00 AM"," ",3678,3678,0,5021,5021,0,185,169,238,0,0,3939,2896,0,0,143,154,154,0,0,1193,1221,0,0,7857,49897,22,7,,24,11,,139,,,75,157,,,80,,,,,,,,
110764313093221_260771898092461,https://www.facebook.com/jowradio/posts/260771898092461,"عيطولنا في  #LDTR و قولونا علاه تتقلقو كي تسوقو في رمضان ؟ 
ولا احكولنا على كاش واحد تعرفوه يتقلق كي يسوق في رمضان.
تقدروا تشاركوا معانا من 23سا حتى 01سا عبر رقم الهاتف التالي : 0982218281
اسمعونا على : www.jow.radio
#Branchiwjow",Photo,,,"05/28/2019 11:00:01 AM"," ",2107,2107,0,2833,2833,0,32,23,25,0,0,2156,1652,0,0,26,0,0,0,0,0,0,0,0,0,0,9,3,,9,5,,13,10,1,,14,10,1,,,,,,,,,
110764313093221_260808551422129,https://www.facebook.com/jowradio/posts/260808551422129,"ضيفتنا اليوم في لي ديبلومي هي نوال ايلول  Nawal Illoul 
تقدرو تشاركو معانا من 23سا حتى 01سا عبر الهاتف 0982218281
اسمعونا على www.jow.radio 
#Branchiwjow",Photo,,,"05/28/2019 11:00:01 AM"," ",884,884,0,1258,1258,0,34,18,18,0,0,878,608,0,0,22,0,0,0,0,0,0,0,0,0,0,16,,1,16,,1,12,4,2,,12,4,2,,,,,,,,,
