Date,Comptes utilisateur actifs,Affichage
19 août 2019,944,2596
20 août 2019,887,2621
21 août 2019,951,2815
22 août 2019,859,2396
23 août 2019,693,1524
24 août 2019,725,1751
25 août 2019,751,2066
26 août 2019,786,2082
27 août 2019,819,2273
28 août 2019,788,2248
29 août 2019,756,1755
30 août 2019,666,1597
31 août 2019,879,2457
1 sept. 2019,724,2170
2 sept. 2019,794,2210
3 sept. 2019,715,1744
4 sept. 2019,678,1853
5 sept. 2019,734,1929
6 sept. 2019,625,1551
7 sept. 2019,979,3454
8 sept. 2019,1087,4276
9 sept. 2019,1170,4180
10 sept. 2019,1256,4743
11 sept. 2019,1088,3510
12 sept. 2019,1006,3323
13 sept. 2019,806,2265
14 sept. 2019,1144,3989
15 sept. 2019,982,3040
16 sept. 2019,1152,4310
17 sept. 2019,1251,4170
18 sept. 2019,1197,4439
19 sept. 2019,1058,3308
20 sept. 2019,1623,6894
21 sept. 2019,2776,15681
22 sept. 2019,1989,9715
23 sept. 2019,1551,5611
24 sept. 2019,1812,7454
25 sept. 2019,1531,5692
26 sept. 2019,1326,4224
27 sept. 2019,1581,5689
28 sept. 2019,1422,5760
29 sept. 2019,1373,4481
30 sept. 2019,1379,4729
1 oct. 2019,3365,14339
2 oct. 2019,3443,15771
3 oct. 2019,3293,17249
4 oct. 2019,3640,19267
5 oct. 2019,3567,17673
6 oct. 2019,2802,11643
7 oct. 2019,3095,13270
8 oct. 2019,3147,12447
9 oct. 2019,2822,10876
10 oct. 2019,2566,9425
11 oct. 2019,3142,13114
12 oct. 2019,2932,11942
13 oct. 2019,2445,8760
14 oct. 2019,2498,8459
15 oct. 2019,2386,7808
16 oct. 2019,2381,8634
17 oct. 2019,9388,63806
18 oct. 2019,3941,19064
19 oct. 2019,3095,12540
20 oct. 2019,2576,8766
21 oct. 2019,2677,9768
22 oct. 2019,3734,12232
23 oct. 2019,3426,12963
24 oct. 2019,5913,26220
25 oct. 2019,3628,16011
26 oct. 2019,2942,12037
27 oct. 2019,2591,9181
28 oct. 2019,2596,8805
29 oct. 2019,2812,11402
30 oct. 2019,2479,7827
31 oct. 2019,3792,13698
1 nov. 2019,2920,10526
2 nov. 2019,2574,8574
3 nov. 2019,2241,6873
4 nov. 2019,2184,6908
5 nov. 2019,2208,6980
6 nov. 2019,1999,6042
7 nov. 2019,3674,11567
8 nov. 2019,2262,8034
9 nov. 2019,2600,9460
10 nov. 2019,2220,7766
11 nov. 2019,1951,5879
12 nov. 2019,2317,8068
13 nov. 2019,1991,6178
14 nov. 2019,2630,8373
15 nov. 2019,3399,14310
16 nov. 2019,3082,12896
17 nov. 2019,3404,14256
18 nov. 2019,2405,8119
19 nov. 2019,3080,10036
20 nov. 2019,2525,8351
21 nov. 2019,3074,9730
22 nov. 2019,3159,12020
23 nov. 2019,2575,9874
24 nov. 2019,2445,8466
25 nov. 2019,2416,8720
26 nov. 2019,2889,9598
27 nov. 2019,2623,8720
28 nov. 2019,3255,11329
29 nov. 2019,2687,10895
30 nov. 2019,2964,12958
1 déc. 2019,2591,9835
2 déc. 2019,2855,10006
3 déc. 2019,3485,12368
4 déc. 2019,2818,10060
5 déc. 2019,4257,15633
6 déc. 2019,3921,15435
7 déc. 2019,3938,18894
8 déc. 2019,3148,12422
9 déc. 2019,2918,10318
10 déc. 2019,3023,9868
11 déc. 2019,2653,8869
12 déc. 2019,2734,8641
13 déc. 2019,2801,9661
14 déc. 2019,3275,13421
15 déc. 2019,2609,8464
16 déc. 2019,2616,9608
17 déc. 2019,2784,9471
18 déc. 2019,2432,7714
19 déc. 2019,3216,10805
20 déc. 2019,2937,9250
21 déc. 2019,2969,9524
