ds,y
2019-08-23,693.0
2019-08-24,725.0
2019-08-25,751.0
2019-08-26,786.0
2019-08-27,819.0
2019-08-28,788.0
2019-08-29,756.0
2019-08-30,666.0
2019-08-31,879.0
2019-09-01,724.0
2019-09-02,794.0
2019-09-03,715.0
2019-09-04,678.0
2019-09-05,734.0
2019-09-06,625.0
2019-09-07,979.0
2019-09-08,1087.0
2019-09-09,1170.0
2019-09-10,1256.0
2019-09-11,1088.0
2019-09-12,1006.0
2019-09-13,806.0
2019-09-14,1144.0
2019-09-15,982.0
2019-09-16,1152.0
2019-09-17,1251.0
2019-09-18,1197.0
2019-09-19,1058.0
2019-09-20,1623.0
2019-09-21,2776.0
2019-09-22,1989.0
2019-09-23,1551.0
2019-09-24,1812.0
2019-09-25,1531.0
2019-09-26,1326.0
2019-09-27,1581.0
2019-09-28,1422.0
2019-09-29,1373.0
2019-09-30,1379.0
2019-10-01,3365.0
2019-10-02,3443.0
2019-10-03,3293.0
2019-10-04,3640.0
2019-10-05,3567.0
2019-10-06,2802.0
2019-10-07,3095.0
2019-10-08,3147.0
2019-10-09,2822.0
2019-10-10,2566.0
2019-10-11,3142.0
2019-10-12,2932.0
2019-10-13,2445.0
2019-10-14,2498.0
2019-10-15,2386.0
2019-10-16,2381.0
2019-10-17,9388.0
2019-10-18,3941.0
2019-10-19,3095.0
2019-10-20,2576.0
2019-10-21,2677.0
2019-10-22,3734.0
2019-10-23,3426.0
2019-10-24,5913.0
2019-10-25,3628.0
2019-10-26,2942.0
2019-10-27,2591.0
2019-10-28,2596.0
2019-10-29,2812.0
2019-10-30,2479.0
2019-10-31,3792.0
2019-11-01,2920.0
2019-11-02,2574.0
2019-11-03,2241.0
2019-11-04,2184.0
2019-11-05,2208.0
2019-11-06,1999.0
2019-11-07,3674.0
2019-11-08,2262.0
2019-11-09,2600.0
2019-11-10,2220.0
2019-11-11,1951.0
2019-11-12,2317.0
2019-11-13,1991.0
2019-11-14,2630.0
2019-11-15,3399.0
2019-11-16,3082.0
2019-11-17,3404.0
2019-11-18,2405.0
2019-11-19,3080.0
2019-11-20,2525.0
2019-11-21,3074.0
2019-11-22,3159.0
2019-11-23,2575.0
2019-11-24,2445.0
2019-11-25,2416.0
2019-11-26,2889.0
2019-11-27,2623.0
2019-11-28,3255.0
2019-11-29,2687.0
2019-11-30,2964.0
2019-12-01,2591.0
2019-12-02,2855.0
2019-12-03,3485.0
2019-12-04,2818.0
2019-12-05,4257.0
2019-12-06,3921.0
2019-12-07,3938.0
2019-12-08,3148.0
2019-12-09,2918.0
2019-12-10,3023.0
2019-12-11,2653.0
2019-12-12,2734.0
2019-12-13,2801.0
2019-12-14,3275.0
2019-12-15,2609.0
2019-12-16,2616.0
2019-12-17,2784.0
2019-12-18,2432.0
2019-12-19,3216.0
2019-12-20,2937.0
2019-12-21,2969.0
2019-12-22,2490.0
2019-12-23,2209.0
2019-12-24,2122.0
2019-12-25,1887.0
2019-12-26,2513.0
2019-12-27,2377.0
2019-12-28,2172.0
2019-12-29,1948.0
2019-12-30,1940.0
2019-12-31,2057.0
2020-01-01,1776.0
2020-01-02,1804.0
2020-01-03,1644.0
2020-01-04,1678.0
2020-01-05,1794.0
2020-01-06,1892.0
2020-01-07,2306.0
2020-01-08,1977.0
2020-01-09,4861.0
2020-01-10,2667.0
2020-01-11,2137.0
2020-01-12,1728.0
2020-01-13,1946.0
2020-01-14,2189.0
2020-01-15,1968.0
2020-01-16,3135.0
2020-01-17,2203.0
2020-01-18,1954.0
2020-01-19,1852.0
2020-01-20,1848.0
2020-01-21,2379.0
2020-01-22,2022.0
2020-01-23,3806.0
2020-01-24,2930.0
2020-01-25,2430.0
2020-01-26,2090.0
2020-01-27,2009.0
2020-01-28,2484.0
2020-01-29,1918.0
2020-01-30,2932.0
2020-01-31,2031.0
2020-02-01,2163.0
2020-02-02,1767.0
2020-02-03,1893.0
2020-02-04,1929.0
2020-02-05,1758.0
2020-02-06,2822.0
2020-02-07,2026.0
2020-02-08,2162.0
2020-02-09,1667.0
2020-02-10,1722.0
2020-02-11,1938.0
2020-02-12,1772.0
2020-02-13,2525.0
2020-02-14,1848.0
2020-02-15,2138.0
2020-02-16,1775.0
2020-02-17,1816.0
2020-02-18,1913.0
2020-02-19,1667.0
2020-02-20,1724.0
2020-02-21,1796.0
2020-02-22,1644.0
2020-02-23,1559.0
2020-02-24,1534.0
2020-02-25,1692.0
2020-02-26,1556.0
2020-02-27,1989.0
2020-02-28,2505.0
2020-02-29,2595.0
2020-03-01,2853.0
2020-03-02,2581.0
2020-03-03,2647.0
2020-03-04,2465.0
2020-03-05,2589.0
2020-03-06,2475.0
2020-03-07,2354.0
2020-03-08,2281.0
2020-03-09,2321.0
2020-03-10,2293.0
2020-03-11,2134.0
2020-03-12,2164.0
2020-03-13,2011.0
2020-03-14,2008.0
2020-03-15,2049.0
2020-03-16,2082.0
2020-03-17,2179.0
2020-03-18,2093.0
2020-03-19,2166.0
2020-03-20,1971.0
2020-03-21,2017.0
2020-03-22,2007.0
2020-03-23,2103.0
2020-03-24,1998.0
2020-03-25,1975.0
2020-03-26,1913.0
2020-03-27,1749.0
2020-03-28,1753.0
2020-03-29,1682.0
2020-03-30,1604.0
2020-03-31,1623.0
2020-04-01,1606.0
2020-04-02,1633.0
2020-04-03,1511.0
2020-04-04,1477.0
2020-04-05,1827.0
2020-04-06,1691.0
2020-04-07,1493.0
2020-04-08,1579.0
2020-04-09,1626.0
2020-04-10,1345.0
2020-04-11,1412.0
2020-04-12,1457.0
2020-04-13,1348.0
2020-04-14,1377.0
2020-04-15,1508.0
2020-04-16,1678.0
2020-04-17,2000.0
2020-04-18,1498.0
2020-04-19,1437.0
2020-04-20,1443.0
2020-04-21,1398.0
2020-04-22,1380.0
2020-04-23,1256.0
2020-04-24,1472.0
2020-04-25,1256.0
2020-04-26,1301.0
2020-04-27,1299.0
2020-04-28,1301.0
2020-04-29,1265.0
2020-04-30,1275.0
2020-05-01,1114.0
2020-05-02,1117.0
2020-05-03,1146.0
2020-05-04,1220.0
2020-05-05,1260.0
2020-05-06,1201.0
2020-05-07,1274.0
2020-05-08,1136.0
2020-05-09,1075.0
2020-05-10,1169.0
2020-05-11,1212.0
2020-05-12,1233.0
2020-05-13,1161.0
2020-05-14,1530.0
2020-05-15,1159.0
2020-05-16,1020.0
2020-05-17,1197.0
2020-05-18,1133.0
2020-05-19,1145.0
2020-05-20,1171.0
2020-05-21,1134.0
2020-05-22,1007.0
2020-05-23,984.0
2020-05-24,1016.0
2020-05-25,1093.0
2020-05-26,1143.0
2020-05-27,1081.0
2020-05-28,1115.0
2020-05-29,1057.0
